16:44:25.039244 config: drop-rate=0.2, max-delay=10s, seed=1 router is listening at :3000
20:51:46.267648 [queue=1] packet #79, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 1.7ms
20:51:46.267648 [queue=2] packet #80, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 8.4ms
20:51:46.268648 [queue=3] packet #81, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 6.2ms
20:51:46.269648 [queue=2] packet #79, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.273648 [queue=3] packet #82, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 6ms
20:51:46.275648 [queue=2] packet #81, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.275648 [queue=3] packet #81, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 5.6ms
20:51:46.276648 [queue=2] packet #80, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.278649 [queue=3] packet #83, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 7ms
20:51:46.279649 [queue=2] packet #82, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.279649 [queue=3] packet #82, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 100µs
20:51:46.280649 [queue=2] packet #82, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.281649 [queue=1] packet #81, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.283649 [queue=2] packet #82, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 2.2ms
20:51:46.285649 [queue=1] packet #83, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.285649 [queue=2] packet #83, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 2.5ms
20:51:46.286649 [queue=1] packet #82, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.286649 [queue=2] packet #83, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 4.7ms
20:51:46.288649 [queue=3] packet #83, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 100µs
20:51:46.289649 [queue=1] packet #83, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.289649 [queue=1] packet #83, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.289649 [queue=2] packet #83, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 4.9ms
20:51:46.291649 [queue=1] packet #83, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.293649 [queue=2] packet #84, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 1.4ms
20:51:46.295649 [queue=0] packet #83, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.295649 [queue=0] packet #84, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.295649 [queue=1] packet #84, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 2.1ms
20:51:46.298650 [queue=2] packet #85, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 800µs
20:51:46.299650 [queue=0] packet #85, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.299650 [queue=0] packet #84, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.299650 [queue=1] packet #85, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 7.7ms
20:51:46.303650 [queue=2] packet #86, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 4.2ms
20:51:46.308650 [queue=1] packet #87, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 8.1ms
20:51:46.308650 [queue=1] packet #85, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.308650 [queue=1] packet #86, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.309650 [queue=2] packet #86, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 1.7ms
20:51:46.311650 [queue=1] packet #86, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.313651 [queue=2] packet #88, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 7.5ms
20:51:46.317651 [queue=1] packet #87, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.317651 [queue=2] packet #87, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 9.5ms
20:51:46.318651 [queue=2] packet #89, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is dropped
20:51:46.321651 [queue=1] packet #88, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.321651 [queue=2] packet #88, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 6ms
20:51:46.323651 [queue=2] packet #90, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is dropped
20:51:46.327651 [queue=0] packet #88, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.327651 [queue=0] packet #87, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.328651 [queue=1] packet #88, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 4.7ms
20:51:46.333652 [queue=2] packet #89, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 8.3ms
20:51:46.334652 [queue=1] packet #88, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.334652 [queue=1] packet #88, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is dropped
20:51:46.338652 [queue=2] packet #90, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 6.2ms
20:51:46.342652 [queue=1] packet #89, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.342652 [queue=2] packet #89, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 6.8ms
20:51:46.343652 [queue=3] packet #91, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 1.4ms
20:51:46.345652 [queue=1] packet #91, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.345652 [queue=1] packet #90, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.345652 [queue=2] packet #89, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 1.6ms
20:51:46.346652 [queue=3] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 3.8ms
20:51:46.348653 [queue=2] packet #89, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.349653 [queue=3] packet #92, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 9.4ms
20:51:46.349653 [queue=2] packet #89, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.350653 [queue=1] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.353653 [queue=2] packet #93, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 2.5ms
20:51:46.357653 [queue=1] packet #93, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.357653 [queue=1] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is dropped
20:51:46.358653 [queue=1] packet #94, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is dropped
20:51:46.359653 [queue=0] packet #92, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.361653 [queue=0] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is dropped
20:51:46.363653 [queue=1] packet #95, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 6.7ms
20:51:46.368654 [queue=2] packet #96, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 2.4ms
20:51:46.370654 [queue=1] packet #95, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.370654 [queue=1] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is dropped
20:51:46.371654 [queue=0] packet #96, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.371654 [queue=1] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 200µs
